article_id,full_name,sex,birth_year,city,state,country,continent,latitude,longitude,occupation,industry,domain,article_languages,page_views,average_views,historical_popularity_index
15192,Isaac,Male,-3500,Canaan,,Israel,Asia,0.0,0.0,Religious Figure,Religion,Institutions,62,4778973,77080,0.0
22481,Otho,Male,32,Viterbo,,Italy,Europe,0.0,0.0,Politician,Government,Institutions,56,1391145,24842,0.0
1937,Alexander Fleming,Male,1881,Lochfield,,United Kingdom,Europe,0.0,0.0,Biologist,Natural Sciences,Science & Technology,81,9383477,115845,0.0
555313,Manetho,Male,-300,Other,,Egypt,Africa,0.0,0.0,Historian,History,Humanities,46,685489,14902,0.0
214866,Novalis,Male,1772,Wiederstedt,,Germany,Europe,0.0,0.0,Writer,Language,Humanities,42,2411983,57428,0.0
21476709,Clare of Assisi,Female,1194,Assisi,,Italy,Europe,0.0,0.0,Religious Figure,Religion,Institutions,43,2371883,55160,0.0
57931,Vitus Bering,Male,1681,Horsens,,Denmark,Europe,0.0,0.0,Explorer,Explorers,Exploration,57,976546,17132,0.0
78781,Michael Douglas,Male,1944,New Brunswick,NJ,United States,North America,0.0,0.0,Actor,Film And Theatre,Arts,60,18370864,306181,0.0
252345,Tiberius II Constantine,Male,540,Thrace,,Turkey,Asia,0.0,0.0,Politician,Government,Institutions,42,364980,8690,0.0
44359,Gary Cooper,Male,1901,Helena,MT,United States,North America,0.0,0.0,Actor,Film And Theatre,Arts,54,6222996,115241,0.0
193687,Maximilian I of Mexico,Male,1832,Vienna,,Austria,Europe,0.0,0.0,Politician,Government,Institutions,46,4159900,90433,0.0
841452,Pherecydes of Syros,Male,-580,Syros,,Greece,Europe,0.0,0.0,Philosopher,Philosophy,Humanities,26,237378,9130,0.0
208639,Mahmud II,Male,1785,Istanbul,,Turkey,Asia,0.0,0.0,Politician,Government,Institutions,47,1409863,29997,0.0
236680,Jacques Tati,Male,1907,Le Pecq,,France,Europe,0.0,0.0,Film Director,Film And Theatre,Arts,34,2056684,60491,0.0
104462,Gustav IV Adolf of Sweden,Male,1778,Stockholm,,Sweden,Europe,0.0,0.0,Politician,Government,Institutions,33,839036,25425,0.0
85267,Darius Milhaud,Male,1892,Aix-en-Provence,,France,Europe,0.0,0.0,Composer,Music,Arts,33,1078807,32691,0.0
259069,Henning Mankell,Male,1948,Stockholm,,Sweden,Europe,0.0,0.0,Writer,Language,Humanities,34,3107066,91384,0.0
162182,Gaston Leroux,Male,1868,Paris,,France,Europe,0.0,0.0,Writer,Language,Humanities,27,1082704,40100,0.0
10083,Ethelred the Unready,Male,968,Wessex,,United Kingdom,Europe,0.0,0.0,Politician,Government,Institutions,43,1199593,27898,0.0
615283,Edward Smith,Male,1850,Stoke-on-Trent,,United Kingdom,Europe,0.0,0.0,Military Personnel,Military,Institutions,34,1859989,54706,0.0
11698,Franz Boas,Male,1858,Minden,,Germany,Europe,0.0,0.0,Anthropologist,Social Sciences,Science & Technology,38,1785511,46987,0.0
548242,Brian Johnson,Male,1947,Dunston,,United Kingdom,Europe,0.0,0.0,Singer,Music,Arts,28,6376975,227749,0.0
370239,Willem Einthoven,Male,1860,Semarang,,Indonesia,Asia,0.0,0.0,Physician,Medicine,Science & Technology,36,498306,13842,0.0
49185,Trofim Lysenko,Male,1898,Karlivka,,Ukraine,Europe,0.0,0.0,Biologist,Natural Sciences,Science & Technology,29,868780,29958,0.0
162654,René Antoine Ferchault de Réaumur,Male,1683,La Rochelle,,France,Europe,0.0,0.0,Biologist,Natural Sciences,Science & Technology,28,355867,12710,0.0
154515,Tōgō Heihachirō,Male,1848,Kagoshima,,Japan,Asia,0.0,0.0,Military Personnel,Military,Institutions,28,3032002,108286,0.0
63741,Vanessa Redgrave,Female,1937,Greenwich,,United Kingdom,Europe,0.0,0.0,Actor,Film And Theatre,Arts,44,7804325,177371,0.0
48351,Irving Berlin,Male,1888,Mogilev Region,,Belarus,Europe,0.0,0.0,Composer,Music,Arts,39,2542869,65202,0.0
63075,Chaim Soutine,Male,1893,Śmiłavičy,,Belarus,Europe,0.0,0.0,Painter,Fine Arts,Arts,29,776700,26783,0.0
14055,Humayun,Male,1508,Kabul,,Afghanistan,Asia,0.0,0.0,Politician,Government,Institutions,40,1412622,35316,0.0
891357,Albert Sabin,Male,1906,Białystok,,Poland,Europe,0.0,0.0,Physician,Medicine,Science & Technology,28,821584,29342,0.0
1778562,Avignon Pope Benedict XIII,Male,1328,Illueca,,Spain,Europe,0.0,0.0,Nobleman,Government,Institutions,27,432904,16033,0.0
80222,Robert McNamara,Male,1916,San Francisco-Bay Area,CA,United States,North America,0.0,0.0,Businessperson,Business,Business & Law,38,4231123,111345,0.0
183785,Susan Hayward,Female,1917,New York,NY,United States,North America,0.0,0.0,Actor,Film And Theatre,Arts,29,1783579,61503,0.0
208160,Brandon Lee,Male,1965,San Francisco-Bay Area,CA,United States,North America,0.0,0.0,Actor,Film And Theatre,Arts,35,17369758,496279,0.0
42621,Gwyneth Paltrow,Female,1972,Los Angeles,CA,United States,North America,0.0,0.0,Actor,Film And Theatre,Arts,92,26075982,283435,0.0
303089,Bret Hart,Male,1957,Calgary,,Canada,North America,0.0,0.0,Wrestler,Individual Sports,Sports,33,10344931,313483,0.0
168163,Maurice Gibb,Male,1949,Douglas,,Isle Of Man,Europe,0.0,0.0,Musician,Music,Arts,27,5016489,185796,0.0
